id,name,link,status,location,about,details,images,highlights
148,Al Raqma 2,https://www.bayut.com/buildings/al-raqma-2/,Ready, Abu Shagara,"Al Raqma 2 is a 13-storey residential building in Abu Shagara, Sharjah. Located on Omair Bin Abi Waqas Street, the building is close to Al Wahda Street and is surrounded by residential towers. One can rent or buy 1-bedroom apartments in the building that comes with facilities like covered parking, elevators and 24-hour security.",[],"['https://assets.bayut.com/content/Al_Raqma_2_28102021_9ae5daf2e1.jpg?w=3840', 'https://assets.bayut.com/content/Al_Raqma_2_Parking_28102021_8ab062cc8a.jpg?w=3840', 'https://assets.bayut.com/content/Al_Majaz_Waterfront_Park_28102021_483c008423.jpg?w=3840']","['Parking', 'Gym', 'Renting property', 'Getting around', 'Restaurants nearby']"
150,Bavaria Building,https://www.bayut.com/buildings/bavaria-building-abu-shagara/,Ready, Abu Shagara,"Bavaria Building is an 8-storey residential building in Abu Shagara, Sharjah. It offers 2-bedroom apartments for rent and sale along with facilities like covered parking, elevators and a 24-hour security system. The tower is located on Sa’ad Bin Abi Waqas Street and is close to Abu Shagara Park.",[],"['https://assets.bayut.com/content/Bavaria_Building_06102021_b42e270a41.jpg?w=3840', 'https://assets.bayut.com/content/Bavaria_Building_Parking_06102021_bb4e4a93ca.jpg?w=3840', 'https://assets.bayut.com/content/Al_Majaz_Waterfront_Park_06102021_bb57cce8a6.jpg?w=3840', 'https://assets.bayut.com/content/City_Center_Sharjah_38b355f120.jpg?w=3840', 'https://assets.bayut.com/content/Sharjah_Aquarium_Future_Tower_27a0664282.jpg?w=3840']","['Parking', 'Gym', 'Renting property', 'Getting around', 'Restaurants nearby']"
151,Saleh Bin Saleh Al Hamadi,https://www.bayut.com/buildings/saleh-bin-saleh-al-hamadi/,Ready, Abu Shagara,"Saleh Bin Saleh Al Hamadi Building is a residential tower in Abu Shagara, Sharjah. Located on Iben Dhubai’ah Street, the 19-storey tower offers 1 and 2-bedroom apartments for rent and sale. Residents can use the three-level parking area and the free parking lots outside the building. Along with the retail space on the ground floor, the building has three high-speed elevators and 24-hour security. Renting and buying apartments in Saleh Bin Saleh Al Hamadi is an attractive option due to the location and reasonable prices.",[],"['https://assets.bayut.com/content/Saleh_Bin_Saleh_Al_Hamadi_27082021_3d3ef9b35c.jpg?w=3840', 'https://assets.bayut.com/content/Saleh_Bin_Saleh_Al_Hamadi_Parking_27082021_05c5b332d6.jpg?w=3840', 'https://assets.bayut.com/content/Orient_Grill_Restaurant_27082021_7c08b6b5ec.jpg?w=3840', 'https://assets.bayut.com/content/Al_Majaz_Waterfront_Park_27082021_f80e4aafba.jpg?w=3840']","['Parking', 'Gym', 'Pet-friendly?', 'Renting property', 'Getting around', 'Restaurants nearby']"
152,Abu Shagara Tower,https://www.bayut.com/buildings/abu-shagara-tower/,Ready,None,"Located in Abu Shagara, Abu Shagara Tower is a mid-rise building that stands 11-floors high. It is strategically located at the junction of Al Wahda Street and King Faisal Street, providing residents with convenient travel opportunities that further links to Dubai. Moreover, it provides easy access to retail shops, supermarkets and automobile workshops. Residents can also visit the most famous Abu Shagara Park, which is just a few minutes away from the building.",[],"['https://assets.bayut.com/content/Abu_Shagara_Sharjah_Abu_Shagara_Tower_Building_Images_20212707_2_41b0c5b27c.jpg?w=3840', 'https://assets.bayut.com/content/Sharjah_Aquarium_09062021_1bd77aec27.jpg?w=3840']","['Parking', 'Pet-friendly?', 'Renting property', 'Getting around', 'Restaurants nearby']"
153,Sadeek Fateh Ali Abd Alkhaja Building,https://www.bayut.com/buildings/sadeek-fateh-ali-abd-alkhaja-building/,Ready, Abu Shagara,Sadeek Fateh Ali Abd Alkhaja Building is a low-rise residential building. It has five storeys and offers 1 and 2-bedroom apartments. The building provides different facilities for its residents such as CCTV cameras and high-speed elevators.,"['Type of building :  Residential ', 'Location :  Abu Shagara', 'Number of floors :  Five storeys', 'Unit type :  1 and 2-bedroom apartments']","['https://assets.bayut.com/content/Sadeek_Fateh_Ali_Abd_Alkhaja_Cover_23_06_b2e4267f5b.jpg?w=3840', 'https://assets.bayut.com/content/Sharjah_Aquarium_Sadeek_Fateh_Ali_Abd_Alkhaja_Building_93d4032d7f.jpg?w=3840']","['Parking', 'Gym', 'Pet-friendly', 'Renting property', 'Getting around', 'Restaurants nearby']"
154,Al Sharif Building,https://www.bayut.com/buildings/al-sharif-building-sharjah/,Ready, Abu Shagara,"Al Sharif Building is located on Harethah Bin Al Nua’man Street in Abu Shagara, Sharjah. It is an 8-storey residential tower offering 2-bedroom apartments for rent and sale. The building has covered parking on its ground floor along with multiple elevators. Those looking to rent or buy apartments in Al Sharif Building will find the prices reasonable.",[],"['https://assets.bayut.com/content/Al_Sharif_Building_23062021_23104ac8ef.jpg?w=3840', 'https://assets.bayut.com/content/Al_Sharif_Building_in_Abu_Shagara_8c62bd36d1.jpg?w=3840', 'https://assets.bayut.com/content/Al_Sharif_Building_Parking_7c28ee4326.jpg?w=3840', 'https://assets.bayut.com/content/Al_Sharif_Building_Restaurants_22062021_45b9f251d4.jpg?w=3840', 'https://assets.bayut.com/content/Al_Majaz_Waterfront_Park_22062021_13cc53d558.jpg?w=3840']","['Parking', 'Gym', 'Pet-friendly', 'Renting property', 'Getting around', 'Restaurants nearby']"
155,Al Bahya Tower,https://www.bayut.com/buildings/al-bahya-tower/,Ready, Abu Shagara,"Al Bahya Tower, also known as Damas Building Sharjah, is in Abu Shagara. It a residential apartment building. It has 16 floors and offers 2 and 3-bedroom apartments. There are four levels of parking for all residents. The building has security and CCTV camera surveillance as well. Al Bahya Tower has a gym and a swimming pool on the property. The building is pet-friendly as well.","['Type of building :  Residential', 'Location :  Abu Shagara', 'Number of floors :  16', 'Unit type :  2 and 3-bedroom apartments', 'Amenities :  Parking, Security and CCTV camera, Gym, Swimming pool, Pet-friendly']","['https://assets.bayut.com/content/Al_Bahya_Tower_Cover_27_05_58ae79224b.jpg?w=3840', 'https://assets.bayut.com/content/Al_Bahya_Tower_Street_view_20210526_1_1b7cbe86b4.jpg?w=3840', 'https://assets.bayut.com/content/IMG_20191014_164205_089026535c.jpg?w=3840']","['Parking', 'Gym', 'Pet-Friendly', 'Renting Property', 'Getting Around', 'Supermarkets']"
157,Sparkle Tower 1,https://www.bayut.com/buildings/sparkle-tower-1/,Ready, Dubai Marina,Sparkle Tower 1 is a high-rise residential building in Dubai Marina and it consists of 29 storeys above ground. Tebyan Real Estate Development has developed the building while Mimar Emirates Engineering Consultants served as the architectural consultant and KEO International Consultants oversaw the management of the project. Construction commenced in 2014 and completed in 2019 while handover also began within the same year. The building offers studio to 3-bed units and a 4-bedroom penthouse as well.,[],"['https://assets.bayut.com/content/Sparkle_Tower_1_Cover_07_10_2327e40682.jpg?w=3840', 'https://assets.bayut.com/content/Dubai_Marina_Sparkle_Towers_Building_Images_20200210_2_94ec0c32c4.jpg?w=3840', 'https://assets.bayut.com/content/Dubai_Marina_Sparkle_Towers_Building_Images_20200210_8_8e7c00e7f1.jpg?w=3840', 'https://assets.bayut.com/content/Dubai_Marina_Sparkle_Towers_Building_Images_20200210_10_fb91502e62.jpg?w=3840', 'https://assets.bayut.com/content/JBR_2_Tram_Stop_07_10_2020_96029f56e8.jpg?w=3840', 'https://assets.bayut.com/content/Choithrams_in_DEC_Towers_07_10_2020_f0881d0823.jpg?w=3840', 'https://assets.bayut.com/content/Dubai_Marina_Walk_07_10_2020_15aefadc64.jpg?w=3840']","['Parking', 'Event space', 'Fitness facilities', 'Apartment types', 'Renting an apartment', 'ROI', 'Getting around', 'Restaurants nearby', 'Landmarks nearby']"
158,Jannah Place,https://www.bayut.com/buildings/jannah-place/,Ready, Dubai Marina,"Jannah Place Dubai Marina is a fully serviced hotel apartment located in Dubai Marina. It is a seven-storey mid-rise building that comprises a total 133 non-smoking rooms. The fully furnished serviced suites are divided into studios and 2-bedroom apartments. The building offers exclusive extended-stay deals as well. There are multiple dining options available within the development. Guests and residents can also benefit from reserved parking service, high-speed lifts, 24-hour security and round the clock concierge service. The lobby of the building is designed with comfortable sofas where guests can wait to be served. Two swimming pools and a high-end gym are also available. The apartments for sale in Jannah Place Dubai Marina are easily accessible due to its proximity to Sheikh Zayed Road.",[],"['https://assets.bayut.com/content/Jannah_Palace_Cover_08_10_8589767c8b.jpg?w=3840', 'https://assets.bayut.com/content/Colourful_murals_in_JBR_Walk_1024x640_1_f6acb6ada0.jpg?w=3840']","['Parking', 'Floor plans', 'Renting property', 'Getting around ', 'Restaurants nearby', 'Supermarkets nearby']"
159,Al Thoraya Tower,https://www.bayut.com/buildings/al-thoraya-tower/,Ready, Sharjah,"Al Thoraya Tower, also known as Al Thuraya Tower, is located in Abu Shagara. The building has a host of amenities at the resident’s disposal. One such facility is that the ground floor of the building has a supermarket. It makes everything much more in reach and accessible for people living here.",[],"['https://assets.bayut.com/content/Cover_image_AL_Thoraya_Tower_080321_1704135c5e.jpg?w=3840', 'https://assets.bayut.com/content/Abu_Shagara_Sharjah_Al_Thoraya_Tower_Building_Images_20210204_2_2a6f36b801.jpg?w=3840']","['Parking', 'Gym', 'Pet-Friendly', 'Getting Around', 'Major Landmarks']"
160,Bay Central East,https://www.bayut.com/buildings/bay-central-east/,Ready, Dubai Marina,"Bay Central East is a high-budget hotel that is a part of the Bay Central complex. It features 1, 2 and 3-bedroom suites, which come with beautiful panoramic views of Dubai Marina, along with luxury amenities. These amenities can range from fitness to leisure. The fitness facilities in Bay Central East include a wide swimming pool with sundecks, spa, gymnasium and sauna/steam facilities. Other amenities comprise high-speed elevators, car parking, 24-hour security and direct links to multiple transportation options. In addition, there are also a children’s playground, 24-hour housekeeping and front desk services.",[],"['https://assets.bayut.com/content/Building_View_Bay_Central_East_02032020_13b39ebecf.jpg?w=3840', 'https://assets.bayut.com/content/Kids_Play_Area_Bay_Central_East_Tower_03042020_6abc5a5b66.jpg?w=3840', 'https://assets.bayut.com/content/Metrostation_Bay_Central_East_03042020_8c4ff2707f.jpg?w=3840', 'https://assets.bayut.com/content/Marina_Walk_Bay_Central_East_03042020_b5b05f5133.jpg?w=3840']","['Bay Central is a high-end development by Select Group, which features spectacular panoramic views of the waterfront. Situated in one of the most prime locations in Dubai Marina, this mixed-use complex comprises two residential skyscrapers and one hotel resort. While The West and Central towers have been constructed as exclusive residential projects, The East building features a five-star hotel. All of which are connected through an exclusive podium.']"
161,Al Majara 3,https://www.bayut.com/buildings/al-majara-3/,Ready, Dubai Marina,"Al Majara 3 is a high-rise building in Dubai Marina, a residential community that is home to more than 200 skyscrapers. The building is a part of Al Majara Towers, an apartment complex consisting of five buildings. Al Majara 3 is developed by Emaar Properties and it was launched in 2004 and completed in 2006.",[],"['https://assets.bayut.com/content/Al_Majara_3_25032020_7b293bab2a.jpg?w=3840', 'https://assets.bayut.com/content/Al_Majara_3_Supermarket_25032020_26b34a5e78.jpg?w=3840', 'https://assets.bayut.com/content/JBR_Beach_25032020_283f19f613.jpg?w=3840']","['Parking', 'Gym', 'Renting property', 'Buying property', 'ROI', 'Getting around', 'Restaurants nearby']"
162,Marina Quays North,https://www.bayut.com/buildings/marina-quays-north/,Ready, Dubai Marina,"Among other developments in the neighbourhood, Marina Quays stands tall with its three buildings linked by a common podium. The complex extends 20 metres over the water offering panoramic waterfront views.",[],"['https://assets.bayut.com/content/Marina_Quays_North_30032020_v1_aa42b0f7f9.jpg?w=3840', 'https://assets.bayut.com/content/Supermarket_in_Marina_Quays_North_adbf2af65e.jpg?w=3840', 'https://assets.bayut.com/content/Dubai_Marina_Mall_Dubai_Marina_522db97b28.jpg?w=3840']","['Marina Quays North is one of the three residential buildings part of the Marina Quays complex in Dubai Marina. The residential units in the complex include 1, 2 and 3-bedroom apartments and penthouses. Amenities include a secure parking area, a pool, a mini-theatre and a gymnasium. Located in Dubai Marina, this building is a project of Emaar Properties. The tower’s architectural consultants were Arif ']"
163,Al Sadek 1,https://www.bayut.com/buildings/al-sadek-1/,Ready, Abu Shagara,"Located in the bustling community of Abu Shagara, Al Sadek 1 is an 11-storey residential building that features modern architecture and various amenities. The accommodations consist of 1 and 2-bedroom apartments. Amenities in Al Sadek 1 include high-speed elevators, waste disposal and maintenance services.","['Type of building :  Residential', 'Location :  Abu Shagara', 'Number of floors :  11', 'Unit types :  1 and 2-bedroom apartments', 'Amenities :  High-speed elevators, waste disposal and maintenance services.']","['https://assets.bayut.com/content/Al_Sadek_1_Cover_19_02_6ecb770d8b.jpg?w=3840', 'https://assets.bayut.com/content/Sharjah_Museum_of_Islamic_Civilization_Sharjah_1_20200608_28f4db01d4.jpg?w=3840']","['Parking', 'Gym', 'Pet-friendly', 'Getting around', 'Restaurants nearby']"
164,Solanki Building,https://www.bayut.com/buildings/solanki-building/,Ready, Abu Shagara,Solanki Building has six storeys above the ground. It is a residential building located in Abu Shagara and offers 2-bedroom units.,"['Type of building :  Residential ', 'Location :  Abu Shagara ', 'Number of floors :  Six storeys ', 'Unit type :  2-bedroom apartments']",['https://assets.bayut.com/content/Solanki_Building_Abu_Shagara_Cover_25_02_3fc169c8a9.jpg?w=3840'],"['Parking', 'Gym', 'Pet-friendly', 'Renting property', 'Getting around', 'Restaurants nearby']"
165,Al Marsa Tower,https://www.bayut.com/buildings/al-marsa-tower/,Ready, Dubai Marina,"The building’s construction began in 2004 and it was handed over in the year 2007. The residential tower provides many conveniences to its residents by offering parking spaces, shops and offices. The skyscraper is located near Sheikh Zayed Road and has direct access to Al Marsa Street.",[],"['https://assets.bayut.com/content/Al_Marsa_Tower_Cover_28_02_44c14edf47.jpg?w=3840', 'https://assets.bayut.com/content/Al_Marsa_Tower_Parking_2_426d1dd95e.jpg?w=3840', 'https://assets.bayut.com/content/Al_Marsa_Tower_Street_View_1_ae42a4abb6.jpg?w=3840', 'https://assets.bayut.com/content/37_04a5fab838.jpg?w=3840']","['Al Marsa Tower, a high-rise residential building is a project of the Emirates Group. This tower consists of two basement levels for car parking and is 63 storeys above ground. The building features apartments ranging from 1-bed, 2-bed, 3-bed and 4-bed units as well as penthouses. The luxurious penthouses are fitted with branded appliances and offer views of the beautiful city.']"
166,Al Habtoor Tower,https://www.bayut.com/buildings/al-habtoor-tower/,Ready, Dubai Marina,Dubai Marina is a hub of high-rise buildings. It is one of the most famous areas in Dubai. The area has over 200 residential towers. It is also home to Dubai Marina Mall and Marina Yacht Club.,[],"['https://assets.bayut.com/content/Al_Habtoor_Tower_51b77f1daf.jpg?w=3840', 'https://assets.bayut.com/content/Palm_Jumeirah_near_Al_Habtoor_Tower_c6f7b21a47.jpg?w=3840']","['Al Habtoor is a 136-metre tall residential building situated in Dubai Marina. It consists of 32 floors and provides 169 apartments. The project was developed by Al Habtoor Properties. Located on a spectacular waterfront, the building provides 1, 2 and 3-bedroom apartments. It also houses four two-storey townhouses. It offers quick access to different amenities including supermarkets, restaurants and major landmarks like Palm Jumeirah. Al Habtoor Tower is a modern development designed by Khatib and Alami. The building was started in 2004 and completed in 2007.']"
167,Nuran Marina Serviced Residences,https://www.bayut.com/buildings/nuran-marina-serviced-residences/,Ready, Dubai Marina,"Nuran Marina Serviced Residences is a 10-storey hotel apartment building in Dubai Marina. The parent community is home to 200 luxurious residential towers and numerous shopping malls and entertainment options. Nuran Marina Serviced Residences is a part of Al Majara Towers, an apartment complex developed by Emaar Properties.",[],"['https://assets.bayut.com/content/Nuran_Marina_Serviced_Residences_Dubai_Marina_Cover_19052022_ce7375c4e4.jpg?w=3840', 'https://assets.bayut.com/content/Nuran_Marina_Serviced_Residences_Building_18052022_4_f09a2f910c.jpg?w=3840', 'https://assets.bayut.com/content/Nuran_Marina_Serviced_Residences_Parking_Spaces_18052022_4_857f9c6ad6.jpg?w=3840', 'https://assets.bayut.com/content/Dubai_Marina_Mall_19052022_462dfed919.jpg?w=3840']","['Parking', 'Gym', 'Renting property', 'Getting around ', 'Restaurants nearby']"
168,Prime Tower,https://www.bayut.com/buildings/prime-tower/,Ready, Abu Shagara,"Prime Tower is a two-star hotel in Abu Shagara with affordable residential options. It is a mid-rise building with 12 floors that features 80 suites. These are called junior and executive suites with studio and 1-bedroom units which have wheel-chair accessibility. The hotel has an event spaces, restaurants and 24-hour room service. Abu Shagara Park is accessible within a walking distance. Also, Al Noor Island is located at a 10-minute drive from the Prime Tower Hotel.","['Type of building :  Residential', 'Location :  Abu Shagara', 'Number of floors :  12', 'Number of units :  80', 'Unit type :  Studio and 1-bedroom apartments', 'Type of ownership :  Leasehold', 'Amenities :  Onsite parking, meeting rooms, conference rooms, restaurant']","['https://assets.bayut.com/content/Prime_Tower_Cover_23_02_d088d714bf.jpg?w=3840', 'https://assets.bayut.com/content/Abu_Shagara_Sharjah_Prime_Tower_Parking_Spaces_20210204_1_fc7f1d93b4.jpg?w=3840', 'https://assets.bayut.com/content/Al_Majaz_Waterfront_Park_19012021_9b6d8f2214.jpg?w=3840']","['Parking', 'Apartment Types', 'Getting around', 'Restaurants nearby']"
169,Rove Dubai Marina,https://www.bayut.com/buildings/rove-dubai-marina/,Ready,None,"Rove Dubai Marina is a 20-storey hotel apartment building in Dubai Marina. The joint venture between Meraas Holding and Emaar Properties PJSC was launched in 2014 in one of Dubai’s most vibrant neighbourhoods and completed in 2018. The building offers 1-bedroom apartments and has a furnished gym and an outdoor swimming pool beside 24-hour security, basement parking and dining options.","['Type of building :  Residential  ', 'Location :  Dubai Marina', 'Developer :  Meraas Holding and Emaar Properties PJSC', 'Date of completion :  2018', 'Number of floors :  20', 'Unit type :  1-bedroom apartments and penthouses', 'Amenities :  Gym and swimming pool']","['https://assets.bayut.com/content/Rove_Dubai_Marina_Dubai_Marina_08042022_eef66c14db.jpg?w=3840', 'https://assets.bayut.com/content/Dubai_Marina_Mall_08042022_94d45b2b05.jpg?w=3840', 'https://assets.bayut.com/content/JBR_Beach_08042022_5d635cc745.jpg?w=3840']","['Parking', 'Gym', 'Getting around', 'Restaurants nearby']"
170,Le Royal Meridien Beach Resort ,https://www.bayut.com/buildings/le-royal-meridien-beach-resort-spa-dubai/,Ready, Dubai Marina,Le Royal Meridien Beach Resort ,[],"['https://assets.bayut.com/content/Le_Royal_Meridien_Beach_Resort_Spa_21022022_7c3b967ca4.jpg?w=3840', 'https://assets.bayut.com/content/Le_Royal_Meridien_Beach_Resort_Spa_Parking_21022022_b9e3f6670d.jpg?w=3840', 'https://assets.bayut.com/content/Dubai_Marina_Mall_21022022_632f21393a.jpg?w=3840']","['Parking', 'Gym', 'Getting around', 'Restaurants nearby']"
